"filename", "language", "C++", "comment", "blank", "total"
"/home/jcoli/develop/Platformio/projects/grow_1/src/buttons.cpp", "C++", 48, 6, 14, 68
"/home/jcoli/develop/Platformio/projects/grow_1/src/comm_bt.cpp", "C++", 34, 7, 15, 56
"/home/jcoli/develop/Platformio/projects/grow_1/src/comm_wifi.cpp", "C++", 78, 18, 25, 121
"/home/jcoli/develop/Platformio/projects/grow_1/src/disp_footpage.cpp", "C++", 84, 28, 19, 131
"/home/jcoli/develop/Platformio/projects/grow_1/src/disp_page0.cpp", "C++", 100, 8, 23, 131
"/home/jcoli/develop/Platformio/projects/grow_1/src/display.cpp", "C++", 33, 6, 21, 60
"/home/jcoli/develop/Platformio/projects/grow_1/src/display_navigation.cpp", "C++", 78, 22, 7, 107
"/home/jcoli/develop/Platformio/projects/grow_1/src/eprom.cpp", "C++", 147, 46, 40, 233
"/home/jcoli/develop/Platformio/projects/grow_1/src/input_analog_control.cpp", "C++", 19, 6, 14, 39
"/home/jcoli/develop/Platformio/projects/grow_1/src/input_digital_control.cpp", "C++", 12, 9, 13, 34
"/home/jcoli/develop/Platformio/projects/grow_1/src/main.cpp", "C++", 165, 32, 43, 240
"/home/jcoli/develop/Platformio/projects/grow_1/src/mqtt_controll.cpp", "C++", 19, 8, 18, 45
"/home/jcoli/develop/Platformio/projects/grow_1/src/output_digital_control.cpp", "C++", 10, 6, 7, 23
"/home/jcoli/develop/Platformio/projects/grow_1/src/program.cpp", "C++", 12, 6, 12, 30
"/home/jcoli/develop/Platformio/projects/grow_1/src/sounds.cpp", "C++", 58, 6, 10, 74
"/home/jcoli/develop/Platformio/projects/grow_1/src/tools.cpp", "C++", 75, 7, 8, 90
"Total", "-", 972, 221, 289, 1482
